Horodateur,What do you crave most when you take time off? ,What kind of sound makes you feel at ease?,How do you tend to move through a day when traveling?,What makes a trip feel memorable?,What helps you enjoy your day most while traveling?,How do you like to feel at the end of a trip?,What kind of view draws you in the most?,How do you spend your time in between meals or activities?,What stays with you after a great trip?,What makes you feel most comfortable when you’re away?,Are you planning a summer or winter holiday?,Which of the following categories best describes your travel style?
2025/05/04 7:08:19 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Calm and refreshed,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Winter,Nature
2025/05/04 5:51:53 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,A skyline or street full of movement,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/04 5:51:37 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/04 5:46:06 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 4:51:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/04 4:51:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Relax
2025/05/04 4:22:14 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 4:14:26 AM UTC+3,Exploring new places and local culture,"Silence, water, wind","I take it slow, maybe read a book or enjoy some quiet time",Feeling connected to the landscape,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Reading, journaling, resting",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Nature
2025/05/04 4:10:42 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 3:51:19 AM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 3:21:13 AM UTC+3,Being outside and moving freely,"Silence, water, wind","I take it slow, maybe read a book or enjoy some quiet time",Feeling connected to the landscape,Having space to relax with no pressure,Calm and refreshed,A wide open lake or still space,"Reading, journaling, resting",A calm feeling that lasts even after I return,Being outside in nature,Summer,Nature
2025/05/04 3:07:02 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Calm and refreshed,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/04 3:05:11 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Reading, journaling, resting",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,City
2025/05/04 2:55:00 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A calm feeling that lasts even after I return,Being outside in nature,Summer,Nature
2025/05/04 2:49:09 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/04 2:49:09 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/04 2:40:12 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Clear-headed and physically balanced,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Relax
2025/05/04 2:40:12 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Having space to relax with no pressure,Clear-headed and physically balanced,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Relax
2025/05/04 2:06:55 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Having space to relax with no pressure,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Being outside in nature,Summer,Nature
2025/05/04 2:04:03 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Calm and refreshed,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/04 12:54:32 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 12:42:37 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 12:42:08 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 12:32:18 AM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A calm feeling that lasts even after I return,Having quiet time to yourself,Summer,City
2025/05/04 12:31:57 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 12:23:17 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 12:20:58 AM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Feeling connected to the landscape,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being outside in nature,Summer,City
2025/05/04 12:20:35 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being outside in nature,Summer,City
2025/05/04 12:18:45 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Reading, journaling, resting",A calm feeling that lasts even after I return,Being outside in nature,Summer,Nature
2025/05/04 12:18:21 AM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,A skyline or street full of movement,"Reading, journaling, resting",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,City
2025/05/04 11:46:17 AM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/04 11:46:17 AM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Relax
2025/05/04 11:33:51 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Reading, journaling, resting",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 10:53:41 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 10:42:40 AM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm","I take it slow, maybe read a book or enjoy some quiet time",Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Calm and refreshed,A wide open lake or still space,"Reading, journaling, resting",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,City
2025/05/04 10:41:27 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being outside in nature,Summer,Nature
2025/05/04 10:39:19 AM UTC+3,Being outside and moving freely,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 10:34:01 AM UTC+3,Being outside and moving freely,"Silence, water, wind","I take it slow, maybe read a book or enjoy some quiet time",Time to pause and reset completely,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/04 10:34:01 AM UTC+3,Being outside and moving freely,"Silence, water, wind","I take it slow, maybe read a book or enjoy some quiet time",Time to pause and reset completely,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/04 10:30:56 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Relax
2025/05/04 10:30:56 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Relax
2025/05/04 10:28:03 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Energized and full of stories,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being outside in nature,Summer,Nature
2025/05/04 10:07:34 AM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 1:57:45 AM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/04 1:50:44 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm","I take it slow, maybe read a book or enjoy some quiet time",Time to pause and reset completely,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Nature
2025/05/04 1:44:19 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Having space to relax with no pressure,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 1:44:18 AM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Being around people and activity,Summer,Relax
2025/05/04 1:44:18 AM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Calm and refreshed,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Being around people and activity,Summer,Relax
2025/05/04 1:37:15 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Nature
2025/05/04 1:33:22 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 1:25:30 AM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,Nature
2025/05/04 1:22:15 AM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/04 1:07:59 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/04 1:05:14 AM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A wide open lake or still space,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/04 1:03:04 PM UTC+3,Exploring new places and local culture,"People chatting, footsteps, a bit of life around",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 9:57:14 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,A wide open lake or still space,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Nature
2025/05/03 9:56:54 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Having space to relax with no pressure,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 9:52:45 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 9:48:55 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 9:48:32 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Reading, journaling, resting",,Having quiet time to yourself,Summer,City
2025/05/03 9:46:35 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,"Mountains, trees, or something wild","Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being outside in nature,,Nature
2025/05/03 9:42:47 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 9:39:58 PM UTC+3,Exploring new places and local culture,"Silence, water, wind",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Being around people and activity,Summer,Nature
2025/05/03 9:37:52 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Clear-headed and physically balanced,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",,Being outside in nature,Summer,City
2025/05/03 9:37:50 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Having space to relax with no pressure,Clear-headed and physically balanced,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/03 9:37:50 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Having space to relax with no pressure,Clear-headed and physically balanced,A skyline or street full of movement,"Walking around, shopping, talking to locals",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,Relax
2025/05/03 9:35:58 PM UTC+3,Being outside and moving freely,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Calm and refreshed,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Winter,City
2025/05/03 9:29:28 PM UTC+3,Disconnecting completely and doing nothing,"Soft music, background calm",I stay active and explore the outdoors or natural surroundings,Time to pause and reset completely,Having space to relax with no pressure,Clear-headed and physically balanced,A wide open lake or still space,"Going for a walk, a swim, or a quick trail",A calm feeling that lasts even after I return,Being outside in nature,Summer,Nature
2025/05/03 9:27:44 PM UTC+3,Being outside and moving freely,"Soft music, background calm",I stay active and like to discover new things and places,Time to pause and reset completely,Having space to relax with no pressure,Energized and full of stories,A skyline or street full of movement,"Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 9:27:15 PM UTC+3,Disconnecting completely and doing nothing,"People chatting, footsteps, a bit of life around",I stay active and explore the outdoors or natural surroundings,Feeling connected to the landscape,Having space to relax with no pressure,Calm and refreshed,A skyline or street full of movement,"Going for a walk, a swim, or a quick trail",The energy and impressions from everything I explored,Being around people and activity,Summer,City
2025/05/03 9:27:10 PM UTC+3,Disconnecting completely and doing nothing,"People chatting, footsteps, a bit of life around",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,A skyline or street full of movement,"Going for a walk, a swim, or a quick trail",A sense of connection to the places I’ve been,Being around people and activity,Summer,City
2025/05/03 9:25:49 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Feeling connected to the landscape,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",A sense of connection to the places I’ve been,Having quiet time to yourself,Summer,City
2025/05/03 9:25:42 PM UTC+3,Exploring new places and local culture,"Soft music, background calm",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Clear-headed and physically balanced,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Being outside in nature,Summer,Nature
2025/05/03 9:24:56 PM UTC+3,Being outside and moving freely,"Soft music, background calm","I take it slow, maybe read a book or enjoy some quiet time",Things I’ve never seen or tasted before,Being outdoors and going where the moment takes me,Energized and full of stories,"Mountains, trees, or something wild","Walking around, shopping, talking to locals",The energy and impressions from everything I explored,Having quiet time to yourself,Summer,Nature
2025/05/03 9:23:53 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",A sense of connection to the places I’ve been,Being outside in nature,Summer,Relax
2025/05/03 9:23:53 PM UTC+3,Disconnecting completely and doing nothing,"Silence, water, wind",I stay active and like to discover new things and places,Things I’ve never seen or tasted before,Knowing there’s variety and new experiences ahead,Energized and full of stories,"Mountains, trees, or something wild","Reading, journaling, resting",A sense of connection to the places I’ve been,Being outside in nature,Summer,Relax
